1PROG.- EEAMX14A                                       COORDINACION DE COBRANZA                                       PAGINA:      01,,,18/09/2019 14:03,,,,,,,,,,,,,
                    DELEGACION: 06 REGIONAL COLIMA                          SUBDELEGACION: 03 MANZANILLO                             ,,,,,,,,,,,,,,,,
 COBR0603                                                                                                                            ,,,,,,,,,,,,,,,,
                                           PATRONES CON CREDITOS EN R.A.L.E. AL 30 08 2019                                           ,,,,,,,,,,,,,,,,
                                                   C R E D I T O S   P R O P I O S                                                   ,,,,,,,,,,,,,,,,
                                                                                                                                     ,,,,,,,,,,,,,,,,
TOTAL DE LA SUBDELEGACION:,PATRONES:, 374 ,CREDITOS:," 1,609 ",IMPORTE:," 35,050,610.58 ",,,,,,,,,,
"              ACT.ECO:             MODALIDAD(ES): 10....17        TIPO DOCTO(S): 00....89        INCIDENCIA(S): 00,..,55             ",,,,,,,,,,,,,,,,
             IMPORTE:                                          PERIODO:                       ANTIGUEDAD  MAYOR  A:                  ,,,,,,,,,,,,,,,,
                                                                                                                                     ,,,,,,,,,,,,,,,,
REGPATR,MOV,FEC MOV,SECTOR,NUM CRED,CE,PERIODO,TD,FALTA,FEC NOTIF,FEC INC,FEC. INCID.,DIAS,IMPORTE,DEL CONT,SUB CONT,OBSERVACIONES
A48-18082-10,2,09/07/2015,00,152013743,,07/2015,02,18/08/2015,09/11/2015,034,22/02/2019,189,"78,564.65",12,02,
A48-18082-10,2,09/07/2015,00,128014843,,07/2012,80,01/12/2017,,034,22/02/2019,189,"89,438.32",12,02,
A48-18082-10,2,09/07/2015,00,126005144,,01/2012,81,01/12/2017,,034,22/02/2019,189,"88,611.01",12,02,
A48-18082-10,2,09/07/2015,00,116025753,,05/2011,81,31/03/2017,,034,22/02/2019,189,"90,563.54",12,02,
A48-18082-10,2,09/07/2015,00,116012063,,02/2011,81,01/12/2017,,034,22/02/2019,189,"107,753.84",12,02,
A48-18082-10,2,09/07/2015,00,126013064,,03/2012,81,01/12/2017,,034,22/02/2019,189,"81,635.91",12,02,
A48-18082-10,2,09/07/2015,00,126016568,,04/2012,81,01/12/2017,,034,22/02/2019,189,"80,050.08",12,02,
A48-18082-10,2,09/07/2015,00,153001568,,06/2015,03,14/10/2015,30/12/2015,034,22/02/2019,189,"109,197.78",12,02,
A48-18082-10,2,09/07/2015,00,126002069,,06/2011,81,01/12/2017,,034,22/02/2019,189,"89,465.75",12,02,
A48-18082-10,2,09/07/2015,00,129004571,,04/2011,81,04/12/2017,04/12/2012,034,22/02/2019,189,"113,787.26",12,02,
A48-18082-10,2,09/07/2015,00,178001378,,05/2015,82,24/07/2017,29/09/2017,034,22/02/2019,189,"55,750.49",12,02,
A48-18082-10,2,09/07/2015,00,173001378,,05/2015,03,24/07/2017,29/09/2017,034,22/02/2019,189,"139,376.23",12,02,
A48-18404-10,2,11/03/2014,05,149017574,,10/2014,50,30/10/2014,31/10/2014,014,02/06/2015,1666,"868,833.14",,,
A48-18516-10,1,13/05/1999,09,191060360,,07/2019,02,31/07/2019,,000,31/07/2019,30,"1,484.48",,,
A48-18616-10,1,07/01/1999,00,196005816,,01/2019,81,20/03/2019,25/03/2019,023,25/05/2019,97,"9,368.04",,,
A48-18616-10,1,07/01/1999,00,198005017,,02/2019,80,20/03/2019,25/03/2019,023,25/05/2019,97,"13,894.06",,,
A48-18616-10,1,07/01/1999,00,198007820,,03/2019,80,22/04/2019,25/04/2019,023,25/05/2019,97,"13,857.70",,,
A48-18616-10,1,07/01/1999,00,198011774,,05/2019,80,18/06/2019,21/06/2019,023,20/08/2019,10,"8,461.46",,,
A48-18716-10,1,10/01/1999,00,199032962,,07/2019,00,24/07/2019,08/08/2019,002,08/08/2019,22,"3,652.95",,,
A48-18799-10,3,11/04/2017,02,198015410,,07/2019,80,20/08/2019,21/08/2019,002,21/08/2019,9,"1,321.67",,,
A48-18799-10,3,11/04/2017,02,192015410,,07/2019,02,20/08/2019,21/08/2019,002,21/08/2019,9,"3,304.19",,,
A48-18799-10,3,11/04/2017,02,196009911,,02/2019,81,21/05/2019,24/05/2019,023,07/12/2019,49,887.33,,,
A48-18799-10,3,11/04/2017,02,198009120,,04/2019,80,21/05/2019,24/05/2019,023,07/12/2019,49,"1,551.55",,,
A48-18799-10,3,11/04/2017,02,198012941,,06/2019,80,18/07/2019,19/07/2019,031,13/08/2019,17,"1,723.94",,,
A48-18799-10,3,11/04/2017,02,196013664,,03/2019,81,18/07/2019,19/07/2019,031,23/08/2019,7,985.92,,,
A48-18799-10,3,11/04/2017,02,198011776,,05/2019,80,18/06/2019,20/06/2019,023,19/07/2019,42,"1,603.24",,,
A48-18915-10,3,08/03/2015,05,199032600,,09/2017,60,27/06/2019,07/08/2019,005,13/08/2019,17,"1,714.21",,,
A48-18915-10,3,08/03/2015,05,199032601,,10/2017,60,27/06/2019,07/08/2019,005,13/08/2019,17,"1,771.35",,,
A48-18915-10,3,08/03/2015,05,199032602,,11/2017,60,27/06/2019,07/08/2019,005,13/08/2019,17,"1,714.21",,,
A48-18915-10,3,08/03/2015,05,199032603,,12/2017,60,27/06/2019,07/08/2019,005,13/08/2019,17,"1,771.35",,,
A48-18915-10,3,08/03/2015,05,199032604,,01/2018,60,27/06/2019,07/08/2019,005,13/08/2019,17,"1,771.35",,,
A48-18915-10,3,08/03/2015,05,199032605,,02/2018,60,27/06/2019,07/08/2019,005,13/08/2019,17,"1,599.92",,,
A48-18915-10,3,08/03/2015,05,199032606,,03/2018,60,27/06/2019,07/08/2019,005,13/08/2019,17,"1,771.35",,,
A48-18915-10,3,08/03/2015,05,199032607,,04/2018,60,27/06/2019,07/08/2019,005,13/08/2019,17,"1,714.21",,,
A48-18915-10,3,08/03/2015,05,199032608,,05/2018,60,27/06/2019,07/08/2019,005,13/08/2019,17,"1,771.35",,,
A48-18915-10,3,08/03/2015,05,199032609,,06/2018,60,27/06/2019,07/08/2019,005,13/08/2019,17,"1,714.21",,,
A48-18915-10,3,08/03/2015,05,199032610,,07/2018,60,27/06/2019,07/08/2019,005,13/08/2019,17,"1,771.35",,,
A48-18915-10,3,08/03/2015,05,199032611,,08/2018,60,27/06/2019,07/08/2019,005,13/08/2019,17,"1,085.67",,,
A48-18915-10,3,08/03/2015,05,199032612,,05/2017,88,27/06/2019,07/08/2019,023,13/08/2019,17,282.1,,,
A48-18915-10,3,08/03/2015,05,199032613,,06/2017,88,27/06/2019,07/08/2019,023,13/08/2019,17,651.02,,,
A48-18915-10,3,08/03/2015,05,199032614,,07/2017,88,27/06/2019,07/08/2019,023,13/08/2019,17,672.72,,,
A48-18915-10,3,08/03/2015,05,199032615,,08/2017,88,27/06/2019,07/08/2019,023,13/08/2019,17,672.72,,,
A48-18915-10,3,08/03/2015,05,199032616,,09/2017,88,27/06/2019,07/08/2019,023,13/08/2019,17,651.02,,,
A48-18915-10,3,08/03/2015,05,199032617,,10/2017,88,27/06/2019,07/08/2019,023,13/08/2019,17,672.72,,,
A48-18915-10,3,08/03/2015,05,199032618,,11/2017,88,27/06/2019,07/08/2019,023,13/08/2019,17,651.02,,,
A48-18915-10,3,08/03/2015,05,199032619,,12/2017,88,27/06/2019,07/08/2019,023,13/08/2019,17,672.72,,,
A48-18915-10,3,08/03/2015,05,199032620,,01/2018,88,27/06/2019,07/08/2019,023,13/08/2019,17,672.72,,,
A48-18915-10,3,08/03/2015,05,199032621,,02/2018,88,27/06/2019,07/08/2019,023,13/08/2019,17,607.61,,,
A48-18915-10,3,08/03/2015,05,199032622,,03/2018,88,27/06/2019,07/08/2019,023,13/08/2019,17,672.72,,,
A48-18915-10,3,08/03/2015,05,199032623,,04/2018,88,27/06/2019,07/08/2019,023,13/08/2019,17,651.02,,,
A48-18915-10,3,08/03/2015,05,199032624,,05/2018,88,27/06/2019,07/08/2019,023,13/08/2019,17,672.72,,,
A48-18915-10,3,08/03/2015,05,199032625,,06/2018,88,27/06/2019,07/08/2019,023,13/08/2019,17,651.02,,,
A48-18915-10,3,08/03/2015,05,199032626,,07/2018,88,27/06/2019,07/08/2019,023,13/08/2019,17,672.72,,,
A48-18915-10,3,08/03/2015,05,199032627,,08/2018,88,27/06/2019,07/08/2019,023,13/08/2019,17,412.31,,,
A48-18915-10,3,08/03/2015,05,199032628,,03/2017,88,27/06/2019,07/08/2019,023,13/08/2019,17,243.93,,,
A48-18915-10,3,08/03/2015,05,199032629,,04/2017,88,27/06/2019,07/08/2019,023,13/08/2019,17,351.71,,,
A48-18915-10,3,08/03/2015,05,199032630,,05/2017,88,27/06/2019,07/08/2019,023,13/08/2019,17,346.04,,,
A48-18915-10,3,08/03/2015,05,199032631,,06/2017,88,27/06/2019,07/08/2019,023,13/08/2019,17,346.04,,,
A48-18915-10,3,08/03/2015,05,199032632,,01/2018,88,27/06/2019,07/08/2019,023,13/08/2019,17,334.7,,,
A48-18915-10,3,08/03/2015,05,199032633,,02/2018,88,27/06/2019,07/08/2019,023,13/08/2019,17,346.04,,,
A48-18915-10,3,08/03/2015,05,199032634,,03/2018,88,27/06/2019,07/08/2019,023,13/08/2019,17,346.04,,,
A48-18915-10,3,08/03/2015,05,199032635,,04/2018,88,27/06/2019,07/08/2019,023,13/08/2019,17,283.64,,,
A48-18915-10,3,08/03/2015,05,199032599,,08/2017,60,27/06/2019,07/08/2019,005,13/08/2019,17,"1,708.38",,,
