1PROG.- EEAMX14A                                       COORDINACION DE COBRANZA                                       PAGINA:      01,,,18/09/2019 14:03,,,,,,,,,,,,,
                    DELEGACION: 06 REGIONAL COLIMA                          SUBDELEGACION: 03 MANZANILLO                             ,,,,,,,,,,,,,,,,
 COBR0603                                                                                                                            ,,,,,,,,,,,,,,,,
                                           PATRONES CON CREDITOS EN R.A.L.E. AL 30 08 2019                                           ,,,,,,,,,,,,,,,,
                                                   C R E D I T O S   P R O P I O S                                                   ,,,,,,,,,,,,,,,,
                                                                                                                                     ,,,,,,,,,,,,,,,,
TOTAL DE LA SUBDELEGACION:,PATRONES:, 374 ,CREDITOS:," 1,609 ",IMPORTE:," 35,050,610.58 ",,,,,,,,,,
"              ACT.ECO:             MODALIDAD(ES): 10....17        TIPO DOCTO(S): 00....89        INCIDENCIA(S): 00,..,55             ",,,,,,,,,,,,,,,,
             IMPORTE:                                          PERIODO:                       ANTIGUEDAD  MAYOR  A:                  ,,,,,,,,,,,,,,,,
                                                                                                                                     ,,,,,,,,,,,,,,,,
REGPATR,MOV,FEC MOV,SECTOR,NUM CRED,CE,PERIODO,TD,FALTA,FEC NOTIF,FEC INC,FEC. INCID.,DIAS,IMPORTE,DEL CONT,SUB CONT,OBSERVACIONES
A48-25564-10,1,22/03/2012,08,198014831,,06/2019,80,30/07/2019,13/08/2019,002,13/08/2019,17,874.17,,,
A48-25564-10,1,22/03/2012,08,196014333,,03/2019,81,30/07/2019,13/08/2019,002,13/08/2019,17,514.27,,,
A48-25613-10,1,05/02/2012,02,196013722,,03/2019,81,18/07/2019,19/07/2019,031,23/08/2019,7,"5,242.65",,,
A48-25613-10,1,05/02/2012,02,198012994,,06/2019,80,18/07/2019,19/07/2019,031,23/08/2019,7,"9,138.75",,,
A48-25640-10,1,06/04/2012,09,198010605,,04/2019,80,29/05/2019,06/11/2019,023,20/08/2019,10,534.08,,,
A48-25640-10,1,06/04/2012,09,191061236,,07/2019,02,31/07/2019,,000,31/07/2019,30,"1,533.00",,,
A48-25642-10,1,21/05/2012,00,198011833,,05/2019,80,18/06/2019,19/06/2019,023,29/07/2019,32,"1,138.39",,,
A48-25642-10,1,21/05/2012,00,198015450,,07/2019,80,20/08/2019,22/08/2019,002,22/08/2019,8,"1,264.87",,,
A48-25644-10,2,28/08/2018,00,182015105,,08/2018,02,18/09/2018,17/10/2018,009,02/01/2019,210,"8,243.30",,,
A48-25644-10,2,28/08/2018,00,188015105,,08/2018,80,18/09/2018,17/10/2018,009,02/01/2019,210,"3,297.32",,,
A48-25644-10,2,28/08/2018,00,188014015,,07/2018,80,21/08/2018,20/09/2018,009,02/01/2019,210,"6,573.61",,,
A48-25644-10,2,28/08/2018,00,182014015,,07/2018,02,21/08/2018,20/09/2018,009,02/01/2019,210,"16,434.04",,,
A48-25644-10,2,28/08/2018,00,186015841,,04/2018,81,18/09/2018,17/10/2018,009,02/01/2019,210,"2,223.70",,,
A48-25652-10,1,06/12/2012,05,198015451,,07/2019,80,20/08/2019,23/08/2019,002,23/08/2019,7,"13,216.35",,,
A48-25652-10,1,06/12/2012,05,198012351,,05/2019,80,28/06/2019,07/12/2019,023,08/12/2019,18,"10,228.92",,,
A48-25679-10,3,09/01/2014,05,196013725,,03/2019,81,18/07/2019,19/07/2019,031,23/08/2019,7,"1,363.23",,,
A48-25679-10,3,09/01/2014,05,198015453,,07/2019,80,20/08/2019,26/08/2019,002,26/08/2019,4,"2,553.78",,,
A48-25679-10,3,09/01/2014,05,198012997,,06/2019,80,18/07/2019,19/07/2019,031,23/08/2019,7,"2,224.30",,,
A48-25703-10,3,12/01/2012,05,191061254,,07/2019,02,31/07/2019,,000,31/07/2019,30,"1,960.81",,,
A48-25716-10,3,02/04/2017,07,196013726,,03/2019,81,18/07/2019,24/07/2019,031,23/08/2019,7,526.7,,,
A48-25716-10,3,02/04/2017,07,198015454,,07/2019,80,20/08/2019,26/08/2019,002,26/08/2019,4,997.29,,,
A48-25716-10,3,02/04/2017,07,198012998,,06/2019,80,18/07/2019,24/07/2019,031,23/08/2019,7,965.12,,,
A48-25849-10,1,11/07/2012,05,198015456,,07/2019,80,20/08/2019,26/08/2019,002,26/08/2019,4,934.16,,,
A48-25904-10,3,17/02/2018,09,191061310,,07/2019,02,31/07/2019,,000,31/07/2019,30,"7,404.31",,,
A48-25934-10,1,21/01/2013,07,192013002,,06/2019,02,18/07/2019,18/07/2019,031,23/08/2019,7,"1,387.39",,,
A48-25934-10,1,21/01/2013,07,198013002,,06/2019,80,18/07/2019,18/07/2019,031,23/08/2019,7,554.95,,,
A48-25934-10,1,21/01/2013,07,196013730,,03/2019,81,18/07/2019,18/07/2019,031,23/08/2019,7,640.12,,,
A48-25934-10,1,21/01/2013,07,192015457,,07/2019,02,20/08/2019,23/08/2019,002,23/08/2019,7,"1,433.63",,,
A48-25934-10,1,21/01/2013,07,198015457,,07/2019,80,20/08/2019,23/08/2019,002,23/08/2019,7,573.45,,,
A48-25941-10,1,23/01/2013,01,198014834,,06/2019,80,30/07/2019,,009,16/08/2019,14,340.81,,,
A48-25941-10,1,23/01/2013,01,196014336,,03/2019,81,30/07/2019,,009,16/08/2019,14,164.32,,,
A48-25999-10,1,22/02/2013,01,196002261,,06/2018,81,31/01/2019,02/12/2019,023,22/03/2019,161,252.64,,,
A48-26068-10,1,04/04/2013,07,196014338,,03/2019,81,30/07/2019,16/08/2019,008,22/08/2019,8,40.78,,,
A48-26072-10,1,04/09/2013,00,136025819,,05/2013,81,12/04/2013,,025,03/10/2014,1999,131.67,,,
A48-26085-10,2,05/02/2019,07,196014339,,03/2019,81,30/07/2019,,009,08/12/2019,18,10.76,,,
A48-26110-10,1,28/04/2013,09,191061371,,07/2019,02,31/07/2019,,000,31/07/2019,30,"1,491.00",,,
A48-26121-10,1,05/04/2013,06,191061374,,07/2019,02,31/07/2019,,000,31/07/2019,30,"3,819.87",,,
A48-26171-10,1,29/05/2013,01,198014838,,06/2019,80,30/07/2019,15/08/2019,008,22/08/2019,8,287.88,,,
A48-26171-10,1,29/05/2013,01,196014342,,03/2019,81,30/07/2019,15/08/2019,008,22/08/2019,8,164.32,,,
A48-26171-10,1,29/05/2013,01,191061389,,07/2019,02,31/07/2019,,000,31/07/2019,30,743.69,,,
A48-26172-10,1,06/04/2013,05,198011842,,05/2019,80,18/06/2019,19/06/2019,023,29/07/2019,32,927,,,
A48-26172-10,1,06/04/2013,05,198015459,,07/2019,80,20/08/2019,22/08/2019,002,22/08/2019,8,"1,029.99",,,
A48-26212-10,1,17/06/2013,10,191061395,,07/2019,02,31/07/2019,,000,31/07/2019,30,"1,118.31",,,
A48-26231-10,1,29/06/2013,00,198011845,,05/2019,80,18/06/2019,19/06/2019,023,29/07/2019,32,"3,123.94",,,
A48-26261-10,1,19/07/2013,04,192013007,,06/2019,02,18/07/2019,20/07/2019,031,23/08/2019,7,"6,153.23",,,
A48-26261-10,1,19/07/2013,04,198013007,,06/2019,80,18/07/2019,20/07/2019,031,23/08/2019,7,"2,461.29",,,
A48-26261-10,1,19/07/2013,04,196013734,,03/2019,81,18/07/2019,20/07/2019,031,23/08/2019,7,"1,584.89",,,
A48-26261-10,1,19/07/2013,04,192015461,,07/2019,02,20/08/2019,23/08/2019,002,23/08/2019,7,"5,469.70",,,
A48-26261-10,1,19/07/2013,04,198015461,,07/2019,80,20/08/2019,23/08/2019,002,23/08/2019,7,"2,187.88",,,
A48-26266-10,2,19/07/2019,05,191061414,,07/2019,02,31/07/2019,,000,31/07/2019,30,"1,756.24",,,
A48-26266-10,2,19/07/2019,05,198012359,,05/2019,80,28/06/2019,08/09/2019,009,07/12/2019,49,"1,226.91",,,
A48-26266-10,2,19/07/2019,05,192012359,,05/2019,02,28/06/2019,08/09/2019,009,07/12/2019,49,"3,067.28",,,
A48-26328-10,3,27/03/2019,00,193000840,,03/2019,03,07/10/2019,19/07/2019,031,13/08/2019,17,"1,369.55",,,
A48-26328-10,3,27/03/2019,00,198000840,,03/2019,82,07/10/2019,19/07/2019,031,13/08/2019,17,547.82,,,
A48-26343-10,1,09/05/2013,06,192013009,,06/2019,02,18/07/2019,24/07/2019,031,23/08/2019,7,740.01,,,
A48-26343-10,1,09/05/2013,06,198013009,,06/2019,80,18/07/2019,24/07/2019,031,23/08/2019,7,296,,,
A48-26343-10,1,09/05/2013,06,196013735,,03/2019,81,18/07/2019,24/07/2019,031,23/08/2019,7,164.83,,,
A48-26343-10,1,09/05/2013,06,198015462,,07/2019,80,20/08/2019,23/08/2019,002,23/08/2019,7,305.87,,,
A48-26343-10,1,09/05/2013,06,192015462,,07/2019,02,20/08/2019,23/08/2019,002,23/08/2019,7,764.68,,,
A48-26349-10,1,09/02/2013,05,198005104,,02/2019,80,20/03/2019,22/03/2019,023,20/05/2019,102,"1,476.16",,,
A48-26349-10,1,09/02/2013,05,191061442,,07/2019,02,31/07/2019,,000,31/07/2019,30,"2,665.88",,,
A48-26353-10,3,31/08/2016,00,168014588,,05/2016,80,25/07/2016,30/09/2016,025,30/01/2017,942,"7,751.57",,,
A48-26353-10,3,31/08/2016,00,162014588,,05/2016,02,25/07/2016,30/09/2016,025,30/01/2017,942,"19,378.94",,,
A48-26387-10,1,10/02/2013,07,198015465,,07/2019,80,20/08/2019,23/08/2019,002,23/08/2019,7,"1,336.74",,,
A48-26395-10,1,10/10/2013,00,198013012,,06/2019,80,18/07/2019,19/07/2019,023,19/08/2019,11,"35,233.80",,,
A48-26395-10,1,10/10/2013,00,196013738,,03/2019,81,18/07/2019,19/07/2019,023,19/08/2019,11,"33,154.73",,,
A48-26395-10,1,10/10/2013,00,198011849,,05/2019,80,18/06/2019,19/06/2019,023,14/08/2019,16,"37,467.83",,,
A48-26395-10,1,10/10/2013,00,198015466,,07/2019,80,20/08/2019,21/08/2019,027,27/08/2019,3,"21,475.19",,,
A48-26395-10,1,10/10/2013,00,192015466,,07/2019,02,20/08/2019,21/08/2019,027,27/08/2019,3,"53,687.99",,,
A48-26443-10,3,22/12/2018,00,198012366,,05/2019,80,28/06/2019,07/12/2019,023,08/12/2019,18,"2,618.33",,,
A48-26444-10,1,11/11/2013,00,142013983,,07/2014,02,19/08/2014,20/08/2014,025,18/04/2016,1229,839.05,,,
A48-26456-10,3,12/01/2017,00,199031624,,11/2017,60,31/01/2019,13/02/2019,052,14/06/2019,77,"19,059.21",,,
A48-26456-10,3,12/01/2017,00,199031625,,12/2017,60,31/01/2019,13/02/2019,052,14/06/2019,77,"21,575.73",,,
A48-26456-10,3,12/01/2017,00,199031626,,01/2018,60,31/01/2019,13/02/2019,052,14/06/2019,77,"15,311.80",,,
A48-26463-10,1,12/04/2013,00,198015468,,07/2019,80,20/08/2019,21/08/2019,002,21/08/2019,9,399.2,,,
A48-26479-10,1,01/02/2014,05,198013015,,06/2019,80,18/07/2019,19/07/2019,031,23/08/2019,7,87.77,,,
A48-26479-10,1,01/02/2014,05,198010619,,04/2019,80,29/05/2019,06/11/2019,032,24/07/2019,37,"1,316.41",,,
A48-26479-10,1,01/02/2014,05,196013741,,03/2019,81,18/07/2019,19/07/2019,031,23/08/2019,7,490.61,,,
A48-26479-10,1,01/02/2014,05,198000648,,06/2017,82,23/05/2019,06/11/2019,032,24/07/2019,37,508.03,,,
A48-26479-10,1,01/02/2014,05,193000648,,06/2017,03,23/05/2019,06/11/2019,032,24/07/2019,37,"1,270.08",,,
A48-26479-10,1,01/02/2014,05,198012368,,05/2019,80,28/06/2019,07/11/2019,031,08/06/2019,24,"1,360.27",,,
A48-26479-10,1,01/02/2014,05,198015469,,07/2019,80,20/08/2019,23/08/2019,002,23/08/2019,7,245.48,,,
A48-26497-10,3,25/07/2017,08,196013742,,03/2019,81,18/07/2019,23/07/2019,032,28/08/2019,2,"15,290.50",,,
A48-26517-10,3,30/07/2019,05,198007906,,03/2019,80,22/04/2019,23/04/2019,023,15/08/2019,15,"1,137.78",,,
A48-26517-10,3,30/07/2019,05,196007127,,01/2019,81,29/03/2019,16/04/2019,023,15/08/2019,15,572.14,,,
A48-26517-10,3,30/07/2019,05,198006555,,02/2019,80,29/03/2019,16/04/2019,023,15/08/2019,15,965.39,,,
A48-26565-10,1,28/02/2014,09,198009202,,04/2019,80,21/05/2019,26/06/2019,023,19/08/2019,11,"1,090.05",,,
A48-26565-10,1,28/02/2014,09,196010006,,02/2019,81,21/05/2019,26/06/2019,023,19/08/2019,11,651.98,,,
A48-26565-10,1,28/02/2014,09,198013016,,06/2019,80,18/07/2019,19/07/2019,031,23/08/2019,7,238.64,,,
A48-26565-10,1,28/02/2014,09,196013744,,03/2019,81,18/07/2019,19/07/2019,031,23/08/2019,7,142.74,,,
A48-26565-10,1,28/02/2014,09,198011853,,05/2019,80,18/06/2019,21/06/2019,023,19/08/2019,11,"1,126.37",,,
A48-26568-10,3,18/04/2019,00,196013745,,03/2019,81,18/07/2019,19/07/2019,031,13/08/2019,17,"1,104.40",,,
A48-26648-10,1,24/04/2014,05,198014842,,06/2019,80,30/07/2019,15/08/2019,002,15/08/2019,15,382.9,,,
A48-26648-10,1,24/04/2014,05,196014345,,03/2019,81,30/07/2019,15/08/2019,002,15/08/2019,15,168.42,,,
A48-26684-10,1,20/05/2014,00,191061569,,07/2019,02,31/07/2019,,000,31/07/2019,30,"16,047.76",,,
A48-26741-10,2,06/12/2019,00,198013018,,06/2019,80,18/07/2019,14/08/2019,009,19/07/2019,42,"2,704.75",,,
A48-26741-10,2,06/12/2019,00,192013018,,06/2019,02,18/07/2019,14/08/2019,009,19/07/2019,42,"6,761.89",,,
A48-26741-10,2,06/12/2019,00,198000842,,03/2019,82,07/10/2019,14/08/2019,009,19/07/2019,42,"4,382.44",,,
A48-26741-10,2,06/12/2019,00,193000842,,03/2019,03,07/10/2019,14/08/2019,009,19/07/2019,42,"10,956.12",,,
A48-26741-10,2,06/12/2019,00,196013748,,03/2019,81,18/07/2019,14/08/2019,009,19/07/2019,42,"2,552.68",,,
A48-26750-10,1,07/08/2014,00,166023507,,05/2016,81,22/12/2016,19/01/2017,025,25/04/2017,857,"5,563.54",,,
A48-26750-10,1,07/08/2014,00,198000433,,09/2016,82,25/04/2019,20/05/2019,025,18/06/2019,73,"4,420.97",,,
A48-26750-10,1,07/08/2014,00,193000433,,09/2016,03,25/04/2019,20/05/2019,025,18/06/2019,73,"11,052.44",,,
A48-26750-10,1,07/08/2014,00,162022741,,10/2016,02,12/09/2016,19/12/2016,025,30/01/2017,942,"2,984.61",,,
A48-26750-10,1,07/08/2014,00,168022741,,10/2016,80,12/09/2016,19/12/2016,025,30/01/2017,942,"5,708.88",,,
A48-26750-10,1,07/08/2014,00,198000453,,10/2016,82,29/04/2019,20/05/2019,025,18/06/2019,73,"5,525.15",,,
A48-26750-10,1,07/08/2014,00,193000453,,10/2016,03,29/04/2019,20/05/2019,025,18/06/2019,73,"13,812.88",,,
A48-26750-10,1,07/08/2014,00,162020787,,09/2016,02,11/09/2016,30/11/2016,025,30/01/2017,942,315.59,,,
A48-26750-10,1,07/08/2014,00,168020787,,09/2016,80,11/09/2016,30/11/2016,025,30/01/2017,942,"4,547.21",,,
A48-26773-10,3,01/08/2019,00,198003875,,01/2019,80,19/02/2019,21/02/2019,023,26/03/2019,157,224.44,,,
A48-26868-10,1,18/09/2014,04,198011858,,05/2019,80,18/06/2019,19/06/2019,023,29/07/2019,32,"9,324.18",,,
A48-26876-10,1,24/09/2014,05,179029300,,12/2014,88,09/07/2017,22/09/2017,043,21/06/2019,70,"38,699.78",,,
A48-26876-10,1,24/09/2014,05,179029301,,06/2014,88,09/07/2017,22/09/2017,043,21/06/2019,70,"16,860.63",,,
A48-26876-10,1,24/09/2014,05,179029302,,08/2014,60,09/07/2017,22/09/2017,043,21/06/2019,70,"1,732.59",,,
A48-26876-10,1,24/09/2014,05,179029303,,09/2014,60,09/07/2017,22/09/2017,043,21/06/2019,70,"3,712.75",,,
A48-26876-10,1,24/09/2014,05,179029304,,08/2014,88,09/07/2017,22/09/2017,043,21/06/2019,70,693.04,,,
A48-26876-10,1,24/09/2014,05,179029305,,09/2014,88,09/07/2017,22/09/2017,043,21/06/2019,70,"1,485.10",,,
A48-26876-10,1,24/09/2014,05,179029306,,04/2014,88,09/07/2017,22/09/2017,043,21/06/2019,70,181.16,,,
A48-26876-10,1,24/09/2014,05,179029307,,05/2014,88,09/07/2017,22/09/2017,043,21/06/2019,70,388.21,,,
A48-26876-10,1,24/09/2014,05,179029308,,08/2014,60,09/07/2017,22/09/2017,043,21/06/2019,70,"1,257.75",,,
A48-26876-10,1,24/09/2014,05,179029309,,09/2014,60,09/07/2017,22/09/2017,043,21/06/2019,70,"2,695.28",,,
A48-26876-10,1,24/09/2014,05,179029310,,08/2014,88,09/07/2017,22/09/2017,043,21/06/2019,70,503.1,,,
A48-26876-10,1,24/09/2014,05,179029311,,09/2014,88,09/07/2017,22/09/2017,043,21/06/2019,70,"1,078.11",,,
A48-26876-10,1,24/09/2014,05,179029312,,04/2014,88,09/07/2017,22/09/2017,043,21/06/2019,70,131.51,,,
A48-26876-10,1,24/09/2014,05,179029313,,05/2014,88,09/07/2017,22/09/2017,043,21/06/2019,70,281.82,,,
A48-26876-10,1,24/09/2014,05,179029294,,05/2015,60,09/07/2017,22/09/2017,043,25/07/2019,36,"9,423.20",,,
A48-26876-10,1,24/09/2014,05,179029295,,05/2015,88,09/07/2017,22/09/2017,043,21/06/2019,70,"3,769.28",,,
A48-26876-10,1,24/09/2014,05,179029296,,03/2015,88,09/07/2017,22/09/2017,043,21/06/2019,70,985.31,,,
A48-26876-10,1,24/09/2014,05,179029297,,11/2014,60,09/07/2017,22/09/2017,043,21/06/2019,70,"64,499.62",,,
A48-26876-10,1,24/09/2014,05,179029298,,12/2014,60,09/07/2017,22/09/2017,043,21/06/2019,70,"96,749.46",,,
A48-26876-10,1,24/09/2014,05,179029299,,11/2014,88,09/07/2017,22/09/2017,043,21/06/2019,70,"25,799.50",,,
A48-26894-10,1,10/10/2014,09,191061637,,07/2019,02,31/07/2019,,000,31/07/2019,30,840.69,,,
A48-26918-10,1,22/09/2014,00,198015471,,07/2019,80,20/08/2019,21/08/2019,002,21/08/2019,9,"1,996.83",,,
A48-26928-10,3,09/06/2018,07,188000711,,07/2018,82,09/05/2018,14/09/2018,023,18/09/2018,346,"1,171.50",,,
A48-26928-10,3,09/06/2018,07,188000325,,03/2018,82,05/03/2018,16/05/2018,023,18/09/2018,346,"1,171.50",,,
A48-26928-10,3,09/06/2018,07,188000635,,06/2018,82,08/03/2018,13/09/2018,023,18/09/2018,346,636.47,,,
A48-26928-10,3,09/06/2018,07,198014847,,06/2019,80,30/07/2019,,009,16/08/2019,14,"1,275.29",,,
A48-26928-10,3,09/06/2018,07,192014847,,06/2019,02,30/07/2019,,009,16/08/2019,14,"3,188.24",,,
A48-26928-10,3,09/06/2018,07,196014351,,03/2019,81,30/07/2019,,009,16/08/2019,14,970.03,,,
A48-26928-10,3,09/06/2018,07,188000666,,03/2018,82,08/03/2018,13/09/2018,023,18/09/2018,346,551.2,,,
A48-26928-10,3,09/06/2018,07,188000371,,01/2018,82,05/11/2018,16/05/2018,023,18/09/2018,346,490.54,,,
A48-26928-10,3,09/06/2018,07,198012373,,05/2019,80,28/06/2019,08/09/2019,002,08/09/2019,21,"1,368.72",,,
A48-26928-10,3,09/06/2018,07,188000594,,05/2018,82,07/06/2018,07/12/2018,023,18/09/2018,346,657.69,,,
A48-26937-10,1,11/11/2014,05,191061657,,07/2019,02,31/07/2019,,000,31/07/2019,30,944.81,,,
A48-26956-10,1,12/02/2014,00,198014849,,06/2019,80,30/07/2019,14/08/2019,008,22/08/2019,8,"3,582.00",,,
A48-26956-10,1,12/02/2014,00,192014849,,06/2019,02,30/07/2019,14/08/2019,008,22/08/2019,8,"8,955.01",,,
A48-26956-10,1,12/02/2014,00,196014353,,03/2019,81,30/07/2019,14/08/2019,008,22/08/2019,8,"3,095.84",,,
A48-26957-10,1,12/08/2014,00,198013024,,06/2019,80,18/07/2019,18/07/2019,031,23/08/2019,7,"4,697.34",,,
A48-26957-10,1,12/08/2014,00,196013754,,03/2019,81,18/07/2019,18/07/2019,031,23/08/2019,7,"2,076.96",,,
A48-26962-10,1,12/04/2014,00,198010626,,04/2019,80,29/05/2019,06/11/2019,023,29/07/2019,32,"1,079.57",,,
A48-26962-10,1,12/04/2014,00,198011862,,05/2019,80,18/06/2019,19/06/2019,023,29/07/2019,32,207.93,,,
A48-26962-10,1,12/04/2014,00,196011175,,02/2019,81,29/05/2019,06/11/2019,023,29/07/2019,32,"1,340.01",,,
A48-26983-10,1,24/12/2014,00,198000889,,03/2019,82,08/01/2019,15/08/2019,002,15/08/2019,15,597.76,,,
A48-26997-10,1,01/01/2015,00,191061681,,07/2019,02,31/07/2019,,000,31/07/2019,30,978.08,,,
A48-27012-10,3,22/06/2019,05,193000709,,04/2019,03,06/04/2019,07/11/2019,031,23/08/2019,7,"5,301.36",,,
A48-27012-10,3,22/06/2019,05,198000709,,04/2019,82,06/04/2019,07/11/2019,031,23/08/2019,7,"2,120.54",,,
A48-27012-10,3,22/06/2019,05,198000743,,02/2019,82,06/04/2019,07/11/2019,031,23/08/2019,7,528.39,,,
A48-27031-10,3,12/11/2015,07,191061694,,07/2019,02,31/07/2019,,000,31/07/2019,30,"3,115.16",,,
A48-27045-10,1,02/04/2015,01,191061701,,07/2019,02,31/07/2019,,000,31/07/2019,30,"2,231.07",,,
A48-27045-10,1,02/04/2015,01,192014851,,06/2019,02,30/07/2019,15/08/2019,008,22/08/2019,8,"2,159.13",,,
A48-27045-10,1,02/04/2015,01,198014851,,06/2019,80,30/07/2019,15/08/2019,008,22/08/2019,8,863.65,,,
A48-27045-10,1,02/04/2015,01,196014355,,03/2019,81,30/07/2019,15/08/2019,008,22/08/2019,8,492.96,,,
A48-27081-10,1,24/02/2015,05,191061716,,07/2019,02,31/07/2019,,000,31/07/2019,30,"4,872.36",,,
A48-27150-10,3,29/03/2018,03,188000636,,06/2018,82,08/03/2018,16/08/2018,023,20/09/2018,344,265.43,,,
A48-27150-10,3,29/03/2018,03,193000864,,06/2019,03,08/01/2019,,009,16/08/2019,14,598.22,,,
A48-27150-10,3,29/03/2018,03,198000864,,06/2019,82,08/01/2019,,009,16/08/2019,14,239.28,,,
A48-27150-10,3,29/03/2018,03,188000667,,03/2018,82,08/03/2018,16/08/2018,023,20/09/2018,344,81.55,,,
A48-27150-10,3,29/03/2018,03,198008483,,03/2019,80,29/04/2019,06/11/2019,009,08/05/2019,25,"1,182.22",,,
A48-27235-10,1,06/01/2015,07,199033151,,08/2019,88,08/07/2019,15/08/2019,002,15/08/2019,15,"1,689.80",,,
A48-27249-10,3,27/01/2016,05,198015476,,07/2019,80,20/08/2019,21/08/2019,027,27/08/2019,3,"12,906.13",,,
A48-27249-10,3,27/01/2016,05,192015476,,07/2019,02,20/08/2019,21/08/2019,027,27/08/2019,3,"32,265.33",,,
A48-27288-10,1,24/06/2015,05,193000710,,04/2019,03,06/04/2019,06/11/2019,005,08/12/2019,18,"97,869.58",,,
A48-27288-10,1,24/06/2015,05,198000710,,04/2019,82,06/04/2019,06/11/2019,023,08/12/2019,18,"62,741.79",,,
A48-27288-10,1,24/06/2015,05,193000813,,05/2019,03,07/03/2019,15/07/2019,005,08/12/2019,18,"155,878.44",,,
A48-27288-10,1,24/06/2015,05,198000813,,05/2019,82,07/03/2019,15/07/2019,023,08/12/2019,18,"62,816.18",,,
A48-27288-10,1,24/06/2015,05,198000319,,01/2019,82,04/02/2019,04/10/2019,023,08/12/2019,18,"90,047.50",,,
A48-27288-10,1,24/06/2015,05,198000524,,03/2019,82,05/02/2019,14/05/2019,023,08/12/2019,18,"80,371.05",,,
A48-27288-10,1,24/06/2015,05,198000744,,02/2019,82,06/04/2019,06/11/2019,023,08/12/2019,18,"64,580.57",,,
A48-27288-10,1,24/06/2015,05,198000291,,02/2019,82,04/02/2019,04/10/2019,023,08/12/2019,18,"117,672.59",,,
A48-27297-10,1,25/06/2015,05,198013029,,06/2019,80,18/07/2019,22/07/2019,031,23/08/2019,7,314.34,,,
A48-27297-10,1,25/06/2015,05,192013029,,06/2019,02,18/07/2019,22/07/2019,031,23/08/2019,7,785.87,,,
A48-27297-10,1,25/06/2015,05,196013758,,03/2019,81,18/07/2019,22/07/2019,031,23/08/2019,7,164.32,,,
A48-27297-10,1,25/06/2015,05,198015477,,07/2019,80,20/08/2019,23/08/2019,002,23/08/2019,7,324.82,,,
A48-27297-10,1,25/06/2015,05,192015477,,07/2019,02,20/08/2019,23/08/2019,002,23/08/2019,7,812.06,,,
A48-27308-10,1,07/04/2015,09,196011179,,02/2019,81,29/05/2019,13/06/2019,023,30/07/2019,31,"1,014.59",,,
A48-27326-10,1,09/01/2013,08,199032552,,04/2016,60,21/05/2019,06/04/2019,052,28/08/2019,2,"20,135.66",,,
A48-27335-10,1,20/07/2015,04,198012378,,05/2019,80,28/06/2019,07/11/2019,023,15/08/2019,15,873.27,,,
A48-27346-10,2,24/10/2017,00,159021844,C,10/2014,60,09/02/2015,09/04/2015,009,03/04/2019,179,"100,987.87",,,
A48-27346-10,2,24/10/2017,00,159021845,C,11/2014,60,09/02/2015,09/04/2015,009,03/04/2019,179,"39,958.89",,,
A48-27346-10,2,24/10/2017,00,159021847,,10/2014,88,23/01/2017,09/04/2015,009,03/04/2019,179,"42,767.14",,,
A48-27366-10,3,31/10/2017,07,191061822,,07/2019,02,31/07/2019,,000,31/07/2019,30,"5,022.01",,,
A48-27366-10,3,31/10/2017,07,198014853,,06/2019,80,30/07/2019,15/08/2019,008,22/08/2019,8,"1,772.66",,,
A48-27366-10,3,31/10/2017,07,196014358,,03/2019,81,30/07/2019,15/08/2019,008,22/08/2019,8,985.92,,,
A48-27382-10,1,08/11/2015,06,191061828,,07/2019,02,31/07/2019,,000,31/07/2019,30,"18,980.06",,,
A48-27382-10,1,08/11/2015,06,192014854,,06/2019,02,30/07/2019,15/08/2019,008,22/08/2019,8,"18,887.85",,,
A48-27382-10,1,08/11/2015,06,198014854,,06/2019,80,30/07/2019,15/08/2019,008,22/08/2019,8,"7,555.14",,,
A48-27382-10,1,08/11/2015,06,196013760,,03/2019,81,18/07/2019,23/07/2019,031,23/08/2019,7,"6,344.03",,,
A48-27394-10,2,29/07/2019,05,198007924,,03/2019,80,22/04/2019,23/04/2019,009,14/06/2019,77,"3,604.87",,,
A48-27394-10,2,29/07/2019,05,192007924,,03/2019,02,22/04/2019,23/04/2019,009,14/06/2019,77,"9,012.18",,,
A48-27394-10,2,29/07/2019,05,198009226,,04/2019,80,21/05/2019,22/05/2019,009,07/08/2019,53,"6,455.10",,,
A48-27394-10,2,29/07/2019,05,196010026,,02/2019,81,21/05/2019,22/05/2019,009,07/08/2019,53,"3,139.42",,,
A48-27394-10,2,29/07/2019,05,198013031,,06/2019,80,18/07/2019,14/08/2019,009,19/07/2019,42,"1,025.54",,,
A48-27394-10,2,29/07/2019,05,192013031,,06/2019,02,18/07/2019,14/08/2019,009,19/07/2019,42,"2,563.85",,,
A48-27394-10,2,29/07/2019,05,196013761,,03/2019,81,18/07/2019,14/08/2019,009,19/07/2019,42,"1,475.09",,,
A48-27394-10,2,29/07/2019,05,198011869,,05/2019,80,18/06/2019,22/07/2019,009,20/06/2019,71,"4,006.84",,,
A48-27394-10,2,29/07/2019,05,192011869,,05/2019,02,18/06/2019,22/07/2019,009,20/06/2019,71,"10,017.12",,,
A48-27394-10,2,29/07/2019,05,198015479,,07/2019,80,20/08/2019,,009,22/08/2019,8,991.34,,,
A48-27394-10,2,29/07/2019,05,192015479,,07/2019,02,20/08/2019,,009,22/08/2019,8,"2,478.37",,,
